attrition,businesstravel,dailyrate,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,datebirth,salary,remotework
No,non-travel,2060.7063492063494,7.0,1.0,Unknown,11.0,2.0,1.0,1.0,5.0,RESeArcH DIrEctoR,3.0,Unknown,"16644,17$","43274,83$",1.0,No,22.0,4.0,2.0,Full Time,2.0,10.0,3.0,3.0,21.0,5.0,10.0,1982.0,"199730,00$",0
No,travel_rarely,1382.7460317460318,23.0,3.0,Life Sciences,12.0,4.0,0.0,3.0,4.0,MANUfACturing DIReCtOr,2.0,Married,Unknown,"29037,67$",4.0,Yes,12.0,3.0,1.0,Full Time,1.0,33.0,0.0,3.0,19.0,15.0,9.0,1967.0,"134020,00$",False
No,Unknown,1362.5238095238096,10.0,3.0,Medical,13.0,2.0,1.0,1.0,3.0,REseaRCh dirEcToR,3.0,Married,Unknown,"28613,00$",3.0,No,12.0,3.0,1.0,Full Time,1.0,10.0,3.0,3.0,18.0,1.0,11.0,1985.0,"132060,00$",1
Yes,travel_rarely,2016.547619047619,12.0,3.0,Unknown,14.0,2.0,1.0,3.0,5.0,reseARCh DIrEctoR,3.0,Married,Unknown,"42347,50$",1.0,No,12.0,3.0,4.0,Full Time,0.0,10.0,0.0,3.0,22.0,15.0,8.0,1982.0,"195450,00$",False
No,Unknown,1973.9841269841268,14.0,4.0,Medical,15.0,3.0,0.0,4.0,5.0,RESeaRCH dirEctor,2.0,Single,"15943,72$","41453,67$",8.0,No,11.0,3.0,4.0,Unknown,0.0,10.0,3.0,3.0,24.0,2.0,15.0,1968.0,Unknown,True
No,travel_rarely,1861.373015873016,2.0,4.0,Unknown,16.0,3.0,1.0,3.0,5.0,MAnAgeR,3.0,Unknown,"15034,17$","39088,83$",0.0,No,14.0,3.0,4.0,Full Time,0.0,10.0,2.0,3.0,20.0,1.0,12.0,1983.0,"180410,00$",0
Yes,travel_rarely,1985.6984126984123,2.0,4.0,Unknown,17.0,4.0,0.0,3.0,5.0,reSeARCh DIrEcToR,2.0,Single,"16038,33$","41699,67$",7.0,Yes,12.0,3.0,4.0,Full Time,0.0,40.0,2.0,3.0,31.0,13.0,8.0,1965.0,"192460,00$",0
No,travel_rarely,1582.7713464696226,2.0,3.0,Unknown,18.0,3.0,1.0,3.0,4.0,MAnaGER,1.0,Unknown,"12783,92$","33238,20$",8.0,Unknown,23.0,4.0,1.0,Unknown,0.0,28.0,2.0,3.0,26.0,15.0,9.0,1977.0,Unknown,False
No,Unknown,556.2566609977324,-13.0,5.0,Life Sciences,19.0,2.0,0.0,4.0,2.0,REseArcH sciENtiST,1.0,Married,"4492,84$","11681,39$",1.0,Unknown,11.0,3.0,4.0,Unknown,0.0,10.0,2.0,3.0,16.0,1.0,10.0,1988.0,Unknown,False
No,travel_rarely,1032.4872861766066,15.0,3.0,Life Sciences,20.0,1.0,1.0,2.0,3.0,MAnUFaCtUring dIRecTOr,3.0,Unknown,"8339,32$","21682,23$",1.0,Unknown,13.0,3.0,4.0,Unknown,2.0,18.0,2.0,3.0,18.0,14.0,12.0,1983.0,Unknown,True
No,non-travel,1108.920634920635,1.0,1.0,Unknown,21.0,3.0,0.0,2.0,3.0,heaLtHcArE repResENtATiVe,3.0,Unknown,"8956,67$","23287,33$",3.0,Unknown,23.0,4.0,4.0,Full Time,1.0,25.0,3.0,2.0,23.0,14.0,4.0,1978.0,"107480,00$",False
No,Unknown,1032.4872861766066,1.0,2.0,Life Sciences,22.0,1.0,1.0,3.0,3.0,RESEARCH dIrECtor,4.0,Single,Unknown,"21682,23$",1.0,Yes,12.0,3.0,3.0,Part Time,0.0,15.0,1.0,3.0,15.0,8.0,12.0,1990.0,"100071,84$",True
No,Unknown,1032.4872861766066,8.0,3.0,Unknown,23.0,3.0,1.0,3.0,3.0,hEaltHCarE ReprESENTAtIvE,3.0,Divorced,Unknown,"21682,23$",1.0,Unknown,13.0,3.0,2.0,Unknown,3.0,17.0,2.0,3.0,17.0,12.0,8.0,1987.0,"100071,84$",1
No,Unknown,1728.3809523809523,2.0,2.0,Other,24.0,3.0,1.0,3.0,4.0,maNagEr,4.0,Married,Unknown,"36296,00$",1.0,Unknown,11.0,3.0,3.0,Full Time,1.0,10.0,3.0,2.0,26.0,3.0,0.0,1976.0,"167520,00$",False
No,travel_rarely,639.7857142857143,-42.0,2.0,Life Sciences,25.0,42.0,0.0,3.0,2.0,SALEs exeCUtIVe,4.0,Unknown,"5167,50$","13435,50$",1.0,Unknown,14.0,3.0,4.0,Full Time,1.0,18.0,1.0,3.0,18.0,4.0,11.0,1987.0,"62010,00$",True
No,Unknown,1032.4872861766066,9.0,3.0,Life Sciences,26.0,4.0,1.0,2.0,3.0,manUfACtURing dirEctOR,3.0,Married,Unknown,"21682,23$",1.0,Yes,20.0,4.0,2.0,Part Time,1.0,17.0,2.0,3.0,17.0,5.0,15.0,1988.0,"100071,84$",False
Yes,Unknown,2047.5,2.0,1.0,Unknown,27.0,1.0,1.0,1.0,5.0,mAnageR,4.0,Married,Unknown,"42997,50$",1.0,No,15.0,3.0,4.0,Full Time,1.0,33.0,3.0,3.0,32.0,6.0,9.0,1971.0,"198450,00$",1
No,Unknown,556.2566609977324,2.0,4.0,Life Sciences,28.0,3.0,1.0,3.0,2.0,MaNufActURing dIrecTOr,2.0,Single,"4492,84$","11681,39$",9.0,Yes,11.0,3.0,4.0,Unknown,0.0,18.0,2.0,3.0,16.0,5.0,12.0,1987.0,"53914,11$",0
No,travel_rarely,556.2566609977324,28.0,4.0,Life Sciences,29.0,2.0,0.0,3.0,2.0,laBoratOry tecHNiCiaN,3.0,Married,"4492,84$","11681,39$",1.0,Unknown,12.0,3.0,2.0,Part Time,1.0,15.0,3.0,3.0,15.0,5.0,7.0,1990.0,"53914,11$",Yes
No,non-travel,412.8015873015873,10.0,3.0,Life Sciences,30.0,4.0,0.0,3.0,2.0,saLEs exEcutIVe,3.0,Unknown,"3334,17$","8668,83$",1.0,Yes,14.0,3.0,3.0,Part Time,1.0,15.0,3.0,3.0,15.0,0.0,7.0,1989.0,"40010,00$",1
No,Unknown,1077.8650793650793,-37.0,1.0,Unknown,31.0,37.0,1.0,3.0,3.0,Sales ExECuTIVe,3.0,Divorced,"8705,83$","22635,17$",0.0,Unknown,13.0,3.0,4.0,Full Time,1.0,10.0,3.0,4.0,22.0,13.0,5.0,1982.0,"104470,00$",Yes
No,Unknown,1032.4872861766066,25.0,3.0,Medical,32.0,1.0,0.0,3.0,3.0,heALthCArE RePResEntaTIVe,3.0,Unknown,"8339,32$","21682,23$",2.0,Unknown,23.0,4.0,2.0,Unknown,0.0,25.0,3.0,3.0,17.0,12.0,11.0,1976.0,Unknown,Yes
No,travel_rarely,1973.9841269841268,5.0,3.0,Unknown,33.0,3.0,1.0,3.0,5.0,ManAgER,3.0,Unknown,"15943,72$","41453,67$",4.0,Unknown,11.0,3.0,4.0,Full Time,1.0,26.0,3.0,2.0,14.0,4.0,8.0,1970.0,"191324,62$",Yes
No,Unknown,556.2566609977324,1.0,4.0,Marketing,34.0,3.0,0.0,2.0,2.0,salEs EXeCUtIvE,1.0,Single,"4492,84$","11681,39$",0.0,No,14.0,3.0,2.0,Part Time,0.0,16.0,2.0,3.0,15.0,2.0,8.0,1988.0,"53914,11$",0
No,travel_rarely,556.2566609977324,6.0,4.0,Other,35.0,1.0,1.0,3.0,2.0,rEsEARcH SCIeNTist,3.0,Single,"4492,84$","11681,39$",1.0,Unknown,14.0,3.0,3.0,Unknown,0.0,16.0,3.0,3.0,16.0,2.0,10.0,1989.0,Unknown,True
No,travel_rarely,1032.4872861766066,1.0,2.0,Unknown,36.0,2.0,1.0,3.0,3.0,SALEs eXECuTive,1.0,Divorced,"8339,32$","21682,23$",1.0,No,25.0,4.0,3.0,Part Time,3.0,24.0,2.0,3.0,24.0,15.0,7.0,1977.0,"100071,84$",Yes
No,Unknown,1657.3968253968255,16.0,3.0,Unknown,37.0,4.0,1.0,3.0,4.0,ManagEr,4.0,Married,Unknown,"34805,33$",5.0,Unknown,22.0,4.0,3.0,Full Time,1.0,22.0,3.0,3.0,17.0,1.0,9.0,1980.0,"160640,00$",1
No,Unknown,331.1904761904762,6.0,3.0,Life Sciences,38.0,4.0,0.0,3.0,1.0,lABORAtOry tECHnIcIan,4.0,Married,"2675,00$","6955,00$",0.0,Unknown,11.0,3.0,3.0,Full Time,1.0,16.0,4.0,3.0,15.0,10.0,11.0,1987.0,"32100,00$",True
No,travel_frequently,1059.1904761904764,28.0,3.0,Unknown,39.0,3.0,1.0,2.0,3.0,Sales exEcUtiVe,1.0,Married,"8555,00$","22243,00$",4.0,No,19.0,3.0,4.0,Full Time,0.0,22.0,5.0,4.0,18.0,13.0,11.0,1963.0,"102660,00$",1
No,travel_frequently,1080.7539682539684,5.0,4.0,Unknown,40.0,4.0,0.0,2.0,3.0,saLes eXEcUTIVE,1.0,Married,"8729,17$","22695,83$",5.0,Yes,21.0,4.0,3.0,Full Time,1.0,20.0,2.0,3.0,18.0,1.0,12.0,1983.0,"104750,00$",0
No,travel_rarely,635.7619047619048,4.0,3.0,Unknown,41.0,3.0,1.0,2.0,2.0,maNufactUring DIrEcToR,3.0,Married,Unknown,"13351,00$",1.0,No,12.0,3.0,3.0,Full Time,1.0,14.0,3.0,3.0,14.0,6.0,8.0,1991.0,"61620,00$",0
No,travel_rarely,487.0873015873016,-35.0,3.0,Unknown,42.0,35.0,0.0,3.0,1.0,LaboRAtorY TecHNiCiAn,1.0,Single,"3934,17$","10228,83$",2.0,Yes,13.0,3.0,3.0,Full Time,0.0,20.0,3.0,3.0,18.0,2.0,17.0,1982.0,"47210,00$",1
No,Unknown,1582.7713464696226,2.0,2.0,Medical,43.0,3.0,0.0,3.0,4.0,ManageR,3.0,Divorced,"12783,92$","33238,20$",6.0,No,13.0,3.0,3.0,Full Time,1.0,22.0,3.0,4.0,17.0,15.0,2.0,1970.0,"153407,07$",False
Yes,travel_rarely,290.03550973654063,16.0,4.0,Unknown,44.0,3.0,1.0,4.0,1.0,LABorAToRY tECHnIciAN,1.0,Single,Unknown,"6090,75$",1.0,Unknown,16.0,3.0,3.0,Part Time,0.0,18.0,1.0,3.0,17.0,15.0,14.0,1987.0,"28111,13$",Yes
No,Unknown,476.1507936507937,8.0,4.0,Life Sciences,45.0,4.0,1.0,2.0,2.0,RESEarch SCIenTisT,1.0,Divorced,"3845,83$","9999,17$",8.0,Yes,23.0,4.0,1.0,Part Time,3.0,10.0,2.0,3.0,16.0,1.0,7.0,1977.0,"46150,00$",0
No,travel_rarely,556.2566609977324,1.0,4.0,Unknown,46.0,4.0,0.0,3.0,2.0,SalES exECUTIve,2.0,Married,"4492,84$","11681,39$",0.0,No,15.0,3.0,1.0,Unknown,2.0,16.0,3.0,3.0,15.0,5.0,8.0,1985.0,"53914,11$",1
No,Unknown,1032.4872861766066,1.0,4.0,Unknown,47.0,1.0,1.0,2.0,3.0,heAltHCare rEPrESEntaTIvE,1.0,Single,"8339,32$","21682,23$",3.0,Unknown,20.0,4.0,3.0,Part Time,0.0,23.0,1.0,2.0,13.0,12.0,8.0,1972.0,"100071,84$",True
No,Unknown,1749.7380952380954,26.0,2.0,Unknown,48.0,3.0,0.0,3.0,4.0,maNaGeR,4.0,Married,"14132,50$","36744,50$",1.0,Yes,12.0,3.0,4.0,Full Time,2.0,25.0,3.0,4.0,25.0,4.0,12.0,1980.0,"169590,00$",1
No,Unknown,290.03550973654063,1.0,3.0,Life Sciences,49.0,4.0,1.0,3.0,1.0,ResEARCh SciENTist,4.0,Single,Unknown,"6090,75$",1.0,No,12.0,3.0,2.0,Part Time,0.0,10.0,3.0,3.0,17.0,5.0,7.0,1986.0,"28111,13$",Yes
No,travel_rarely,556.2566609977324,8.0,2.0,Technical Degree,50.0,3.0,1.0,2.0,2.0,salES ExecuTIve,2.0,Married,Unknown,"11681,39$",1.0,Yes,11.0,3.0,4.0,Part Time,0.0,10.0,2.0,3.0,13.0,11.0,9.0,1991.0,"53914,11$",True
No,Unknown,1032.4872861766066,1.0,3.0,Unknown,51.0,4.0,1.0,3.0,3.0,ReSeaRch directOR,1.0,Married,"8339,32$","21682,23$",1.0,Unknown,13.0,3.0,2.0,Part Time,1.0,15.0,3.0,3.0,15.0,5.0,11.0,1985.0,"100071,84$",False
No,Unknown,1582.7713464696226,3.0,3.0,Life Sciences,52.0,3.0,1.0,3.0,4.0,mAnAgER,2.0,Unknown,"12783,92$","33238,20$",8.0,No,12.0,3.0,4.0,Full Time,1.0,23.0,2.0,4.0,13.0,5.0,1.0,1977.0,"153407,07$",Yes
Yes,travel_rarely,1063.3174603174605,10.0,3.0,Medical,53.0,4.0,0.0,2.0,3.0,sAles EXecuTive,1.0,Married,"8588,33$","22329,67$",9.0,Unknown,17.0,3.0,3.0,Unknown,0.0,15.0,3.0,3.0,13.0,6.0,0.0,1988.0,Unknown,0
No,Unknown,1973.9841269841268,6.0,3.0,Medical,54.0,1.0,1.0,2.0,5.0,MaNAGEr,3.0,Married,"15943,72$","41453,67$",7.0,No,13.0,3.0,4.0,Unknown,0.0,21.0,2.0,3.0,16.0,6.0,14.0,1980.0,Unknown,Yes
No,non-travel,556.2566609977324,1.0,4.0,Life Sciences,55.0,3.0,0.0,3.0,2.0,hEALThcArE REPrESeNTATive,3.0,Divorced,"4492,84$","11681,39$",1.0,No,21.0,3.0,1.0,Unknown,1.0,10.0,2.0,2.0,13.0,1.0,9.0,1967.0,Unknown,Yes
No,non-travel,557.7619047619048,15.0,4.0,Marketing,56.0,4.0,0.0,1.0,2.0,SAlES ExECuTIVe,4.0,divorced,"4505,00$","11713,00$",1.0,No,24.0,4.0,1.0,Full Time,1.0,10.0,4.0,2.0,15.0,11.0,11.0,1987.0,"54060,00$",1
No,Unknown,556.2566609977324,6.0,3.0,Medical,57.0,2.0,1.0,1.0,2.0,rEseARch SCieNtIsT,4.0,Unknown,Unknown,"11681,39$",7.0,Unknown,12.0,3.0,4.0,Part Time,3.0,17.0,3.0,3.0,13.0,1.0,9.0,1985.0,"53914,11$",Yes
No,Unknown,556.2566609977324,-26.0,4.0,Medical,58.0,3.0,1.0,3.0,2.0,maNufActUrInG DIrECtOr,1.0,Unknown,Unknown,"11681,39$",1.0,No,14.0,3.0,3.0,Part Time,0.0,16.0,2.0,2.0,15.0,5.0,11.0,1974.0,"53914,11$",0
No,travel_rarely,608.936507936508,4.0,4.0,Life Sciences,59.0,4.0,1.0,2.0,2.0,sALEs eXeCuTIvE,3.0,Married,"4918,33$","12787,67$",4.0,Unknown,14.0,3.0,3.0,Full Time,1.0,17.0,1.0,4.0,15.0,5.0,9.0,1984.0,"59020,00$",Yes
No,Unknown,1119.9603174603176,4.0,4.0,Unknown,60.0,3.0,0.0,2.0,3.0,SALES eXECUtiVE,4.0,Married,Unknown,"23519,17$",7.0,No,11.0,3.0,1.0,Full Time,1.0,15.0,2.0,2.0,12.0,2.0,11.0,1983.0,"108550,00$",Yes
No,Unknown,610.1746031746031,5.0,2.0,Unknown,61.0,4.0,0.0,3.0,2.0,lAboratORy TeChNiCiaN,2.0,Single,"4928,33$","12813,67$",8.0,No,16.0,3.0,4.0,Full Time,0.0,16.0,3.0,4.0,13.0,3.0,7.0,1987.0,"59140,00$",1
No,Unknown,556.2566609977324,25.0,5.0,Unknown,62.0,2.0,1.0,3.0,2.0,RESEaRCh sCIENtIst,3.0,Married,Unknown,"11681,39$",3.0,Yes,15.0,3.0,1.0,Unknown,2.0,15.0,2.0,3.0,13.0,10.0,7.0,1986.0,"53914,11$",0
No,Unknown,685.6984126984128,6.0,4.0,Unknown,63.0,2.0,0.0,1.0,2.0,REsEarcH sCieNTISt,4.0,Unknown,"5538,33$","14399,67$",1.0,Unknown,13.0,3.0,2.0,Full Time,0.0,10.0,3.0,3.0,17.0,11.0,8.0,1988.0,"66460,00$",Yes
No,travel_frequently,556.2566609977324,6.0,3.0,Life Sciences,64.0,3.0,0.0,3.0,2.0,heaLthCaRE ReprEseNtaTiVe,4.0,Divorced,"4492,84$","11681,39$",3.0,No,23.0,4.0,3.0,Part Time,1.0,15.0,2.0,1.0,13.0,4.0,7.0,1990.0,"53914,11$",False
No,travel_rarely,1441.65873015873,24.0,3.0,Unknown,65.0,4.0,0.0,3.0,4.0,ManufactUrINg DiReCTOr,3.0,Married,Unknown,"30274,83$",3.0,Yes,18.0,3.0,4.0,Full Time,1.0,22.0,2.0,3.0,12.0,1.0,5.0,1973.0,"139730,00$",False
No,travel_rarely,1032.4872861766066,4.0,4.0,Unknown,66.0,3.0,0.0,2.0,3.0,HEaLthcAre REPrEsEntaTIvE,3.0,Single,Unknown,"21682,23$",7.0,Unknown,14.0,3.0,2.0,Part Time,0.0,27.0,3.0,3.0,15.0,4.0,8.0,1975.0,"100071,84$",Yes
No,travel_rarely,1374.2857142857142,28.0,3.0,Unknown,67.0,4.0,1.0,4.0,4.0,SaleS eXEcUtIVE,4.0,Married,"11100,00$","28860,00$",3.0,Unknown,18.0,3.0,3.0,Unknown,1.0,10.0,2.0,3.0,12.0,11.0,11.0,1979.0,Unknown,1
No,travel_rarely,556.2566609977324,29.0,4.0,Unknown,68.0,4.0,0.0,3.0,2.0,reseaRCH ScIEntIst,4.0,Single,Unknown,"11681,39$",1.0,Unknown,25.0,4.0,2.0,Part Time,0.0,10.0,3.0,3.0,20.0,13.0,17.0,1979.0,"53914,11$",Yes
No,Unknown,556.2566609977324,-25.0,1.0,Unknown,69.0,25.0,1.0,4.0,2.0,HEAlTHcaRe ReprESeNtatIVe,3.0,Unknown,Unknown,"11681,39$",5.0,No,20.0,4.0,2.0,Part Time,3.0,15.0,0.0,3.0,12.0,11.0,8.0,1983.0,"53914,11$",True
No,travel_rarely,689.9285714285714,2.0,4.0,Unknown,70.0,3.0,1.0,3.0,2.0,HeaLthCare repRESeNTaTIVE,4.0,Single,"5572,50$","14488,50$",1.0,Unknown,11.0,3.0,4.0,Full Time,0.0,14.0,2.0,4.0,14.0,4.0,11.0,1989.0,"66870,00$",True
No,non-travel,556.2566609977324,8.0,4.0,Unknown,71.0,3.0,1.0,3.0,2.0,HEaLthcaRe rEprEsEnTAtiVe,3.0,Unknown,"4492,84$","11681,39$",1.0,Unknown,12.0,3.0,4.0,Part Time,1.0,10.0,5.0,3.0,14.0,2.0,9.0,1988.0,"53914,11$",True
No,Unknown,1032.4872861766066,17.0,5.0,Life Sciences,72.0,4.0,1.0,2.0,3.0,ReseArcH diReCtOr,1.0,Unknown,Unknown,"21682,23$",5.0,No,15.0,3.0,3.0,Part Time,3.0,10.0,3.0,3.0,14.0,1.0,11.0,1973.0,"100071,84$",0
No,Unknown,1582.7713464696226,6.0,1.0,Life Sciences,73.0,3.0,1.0,2.0,4.0,healthcArE repReSEnTaTive,3.0,Unknown,"12783,92$","33238,20$",2.0,Unknown,19.0,3.0,2.0,Full Time,1.0,10.0,3.0,3.0,15.0,2.0,12.0,1974.0,"153407,07$",Yes
No,travel_frequently,488.531746031746,1.0,3.0,Life Sciences,74.0,4.0,0.0,3.0,2.0,reSeARch sCientIst,4.0,Unknown,Unknown,"10259,17$",7.0,No,15.0,3.0,4.0,Part Time,2.0,19.0,4.0,3.0,13.0,2.0,9.0,1985.0,"47350,00$",True
No,Unknown,290.03550973654063,21.0,3.0,Unknown,75.0,2.0,0.0,4.0,1.0,lAbOrAtory tecHnIciaN,2.0,Unknown,Unknown,"6090,75$",1.0,No,18.0,3.0,4.0,Part Time,3.0,14.0,6.0,3.0,14.0,2.0,13.0,1990.0,"28111,13$",True
No,travel_rarely,1032.4872861766066,4.0,3.0,Life Sciences,76.0,3.0,1.0,2.0,3.0,maNufACTURING DIREctOr,2.0,Divorced,"8339,32$","21682,23$",8.0,Yes,12.0,3.0,3.0,Part Time,1.0,10.0,4.0,3.0,22.0,14.0,10.0,1976.0,"100071,84$",Yes
No,Unknown,556.2566609977324,8.0,3.0,Unknown,77.0,4.0,1.0,2.0,2.0,rESeArCH sCientIST,2.0,Divorced,"4492,84$","11681,39$",1.0,Unknown,16.0,3.0,3.0,Unknown,1.0,20.0,3.0,3.0,20.0,0.0,7.0,1985.0,Unknown,0
No,travel_rarely,1032.4872861766066,10.0,3.0,Life Sciences,78.0,3.0,1.0,4.0,3.0,ResEarCh dIReCtOr,4.0,Unknown,"8339,32$","21682,23$",1.0,Yes,25.0,4.0,1.0,Part Time,1.0,16.0,2.0,3.0,16.0,6.0,8.0,1986.0,"100071,84$",Yes
No,Unknown,556.2566609977324,2.0,3.0,Unknown,79.0,3.0,0.0,2.0,2.0,hEALtHcare REpREsenTAtiVe,4.0,Married,Unknown,"11681,39$",1.0,No,19.0,3.0,1.0,Part Time,3.0,11.0,3.0,3.0,11.0,10.0,8.0,1993.0,"53914,11$",Yes
No,travel_rarely,1431.2380952380954,-18.0,4.0,Unknown,80.0,4.0,0.0,3.0,4.0,saLes ExECutiVE,3.0,Single,"11560,00$","30056,00$",0.0,Unknown,13.0,3.0,3.0,Full Time,0.0,38.0,1.0,2.0,37.0,1.0,8.0,1965.0,"138720,00$",1
No,travel_rarely,1032.4872861766066,5.0,3.0,Unknown,81.0,3.0,1.0,2.0,3.0,mAnagER,1.0,Single,"8339,32$","21682,23$",2.0,Unknown,12.0,3.0,4.0,Unknown,0.0,14.0,6.0,3.0,11.0,5.0,8.0,1989.0,Unknown,0
Yes,travel_rarely,1032.4872861766066,23.0,4.0,Medical,82.0,4.0,1.0,3.0,3.0,hEaLtHCARE ReprESENTATivE,4.0,Married,"8339,32$","21682,23$",1.0,Unknown,12.0,3.0,4.0,Part Time,1.0,40.0,3.0,2.0,40.0,15.0,6.0,1965.0,"100071,84$",Yes
No,Unknown,1032.4872861766066,3.0,3.0,Life Sciences,83.0,1.0,0.0,3.0,3.0,Sales exECuTIVE,3.0,Divorced,"8339,32$","21682,23$",0.0,Unknown,12.0,3.0,3.0,Unknown,2.0,10.0,6.0,2.0,16.0,5.0,13.0,1985.0,Unknown,1
No,travel_frequently,1032.4872861766066,1.0,1.0,Unknown,84.0,2.0,1.0,3.0,3.0,SalEs eXecUTIVe,4.0,Married,"8339,32$","21682,23$",1.0,Unknown,14.0,3.0,4.0,Part Time,1.0,11.0,5.0,3.0,11.0,4.0,1.0,1994.0,"100071,84$",True
No,travel_rarely,1964.9603174603176,1.0,3.0,Medical,85.0,4.0,0.0,3.0,5.0,manAger,1.0,Single,"15870,83$","41264,17$",0.0,Unknown,14.0,3.0,3.0,Full Time,0.0,37.0,2.0,3.0,36.0,4.0,13.0,1968.0,"190450,00$",1
No,Unknown,1652.34126984127,-10.0,4.0,Unknown,86.0,4.0,0.0,3.0,4.0,MAnager,2.0,Unknown,"13345,83$","34699,17$",1.0,Unknown,19.0,3.0,2.0,Unknown,0.0,10.0,2.0,3.0,22.0,0.0,4.0,1982.0,Unknown,Yes
No,travel_rarely,991.8174603174604,1.0,3.0,Unknown,87.0,3.0,0.0,4.0,3.0,healTHCAre rePREseNtATiVE,4.0,Unknown,"8010,83$","20828,17$",0.0,No,17.0,3.0,1.0,Part Time,3.0,19.0,5.0,2.0,18.0,3.0,7.0,1984.0,"96130,00$",0
No,Unknown,1187.5396825396826,15.0,2.0,Life Sciences,88.0,3.0,0.0,2.0,3.0,rESEaRCh DirEcToR,4.0,Unknown,Unknown,"24938,33$",0.0,Unknown,14.0,3.0,2.0,Full Time,1.0,10.0,3.0,3.0,11.0,2.0,9.0,1985.0,"115100,00$",1
No,Unknown,1582.7713464696226,12.0,3.0,Unknown,89.0,1.0,0.0,2.0,4.0,researCH DIrECtoR,2.0,Unknown,"12783,92$","33238,20$",1.0,No,11.0,3.0,3.0,Full Time,1.0,10.0,3.0,3.0,25.0,3.0,9.0,1980.0,"153407,07$",True
No,Unknown,444.26984126984127,-30.0,2.0,Unknown,90.0,2.0,1.0,3.0,2.0,MaNufactuRINg dIrecTor,1.0,Married,"3588,33$","9329,67$",1.0,No,12.0,3.0,2.0,Unknown,1.0,13.0,5.0,1.0,13.0,3.0,12.0,1992.0,Unknown,Yes
