Attrition,Businesstravel,Dailyrate,Distancefromhome,Education,Educationfield,Employeenumber,Environmentsatisfaction,Gender,Jobinvolvement,Joblevel,Jobrole,Jobsatisfaction,Maritalstatus,Numcompaniesworked,Overtime,Percentsalaryhike,Performancerating,Relationshipsatisfaction,Standardhours,Stockoptionlevel,Trainingtimeslastyear,Worklifebalance,Yearsatcompany,Yearssincelastpromotion,Yearswithcurrmanager,Datebirth,Salary,Remotework
No,Unknown,290.04,2,3,Unknown,104,1,F,3,1,Human resources,2,Divorced,5,No,13,3.0,4,Part time,3,3,3.0,11,3,8,1985,28111.13,yes
No,Unknown,1973.98,10,3,Unknown,105,4,F,2,5,Research director,2,Unknown,4,No,12,3.0,4,Full time,0,3,3.0,22,12,9,1975,191324.62,no
No,Unknown,592.94,22,4,Other,106,3,F,2,2,Research scientist,4,Married,1,Yes,15,3.0,2,Full time,0,3,3.0,15,6,11,1989,57470.0,no
No,Travel_rarely,1075.29,31,4,Unknown,107,31,M,3,3,Sales executive,4,Unknown,1,No,19,3.0,3,Full time,2,3,3.0,14,5,7,1991,104220.0,yes
No,Travel_rarely,1032.49,21,4,Life sciences,108,2,M,4,3,Manufacturing director,1,Divorced,1,No,11,3.0,3,Unknown,1,1,3.0,10,8,8,1994,53914.11,no
No,Unknown,1032.49,1,3,Medical,109,3,F,2,3,Healthcare representative,1,Married,2,Yes,13,3.0,3,Unknown,1,5,3.0,10,9,5,1977,100071.84,no
No,Unknown,654.85,9,3,Unknown,110,3,F,3,2,Human resources,4,Married,0,Yes,19,3.0,4,Full time,0,2,3.0,11,4,7,1993,63470.0,no
No,Unknown,242.25,9,3,Life sciences,111,2,F,3,2,Laboratory technician,2,Unknown,8,No,18,3.0,3,Part time,1,2,3.0,17,0,15,1978,23480.0,yes
No,Travel_rarely,1032.49,5,3,Unknown,112,2,M,3,3,Sales executive,4,Unknown,2,No,12,3.0,3,Part time,1,2,3.0,10,7,4,1993,100071.84,yes
No,Unknown,316.95,9,3,Unknown,113,3,F,3,2,Laboratory technician,1,Unknown,1,No,11,3.0,3,Part time,2,4,3.0,12,6,10,1993,30720.0,yes
No,Travel_frequently,556.26,29,1,Unknown,114,4,F,2,2,Manufacturing director,3,Married,1,Nan,17,3.0,3,Unknown,0,2,3.0,10,1,9,1989,53914.11,no
No,Travel_rarely,1288.65,8,4,Life sciences,115,2,F,2,3,Research director,2,Married,5,No,16,3.0,4,Full time,2,5,3.0,10,4,7,1972,124900.0,no
No,Unknown,556.26,39,4,Life sciences,116,39,F,2,2,Manufacturing director,1,Unknown,6,Nan,13,3.0,2,Part time,1,3,3.0,11,5,9,1989,53914.11,yes
No,Travel_rarely,827.46,16,3,Unknown,117,3,F,3,3,Sales executive,2,Married,0,Nan,15,3.0,3,Part time,2,3,3.0,11,6,9,1988,80200.0,yes
No,Travel_frequently,1032.49,7,3,Life sciences,118,1,F,3,3,Laboratory technician,1,Unknown,1,Nan,18,3.0,1,Part time,1,2,3.0,24,9,11,1978,100071.84,yes
No,Unknown,1760.98,10,1,Unknown,119,3,F,3,4,Manager,1,Married,1,Nan,14,3.0,4,Full time,0,3,3.0,21,11,10,1984,170680.0,yes
No,Unknown,922.69,7,2,Unknown,120,3,M,2,3,Manufacturing director,3,Married,1,No,24,3.0,1,Part time,1,2,3.0,10,8,9,1992,89430.0,no
No,Unknown,1988.38,7,2,Unknown,121,3,F,2,5,Manager,4,Married,1,Nan,15,3.0,1,Full time,1,2,3.0,21,13,3,1984,192720.0,yes
No,Travel_rarely,556.26,8,4,Unknown,122,4,F,3,2,Research scientist,4,Unknown,9,No,14,3.0,1,Part time,2,3,3.0,10,9,8,1978,53914.11,yes
No,Travel_rarely,556.26,5,3,Marketing,123,4,M,2,2,Sales executive,3,Unknown,1,Nan,13,3.0,3,Unknown,3,2,3.0,10,1,2,1993,53914.11,yes
No,Unknown,1032.49,7,4,Medical,124,3,M,3,3,Manufacturing director,4,Unknown,1,Nan,14,3.0,3,Part time,0,2,3.0,11,4,10,1992,100071.84,no
No,Unknown,1032.49,3,4,Medical,125,1,F,2,3,Sales executive,4,Married,4,No,11,3.0,1,Part time,1,2,3.0,13,1,12,1987,100071.84,yes
No,Travel_rarely,1032.49,2,2,Unknown,126,2,F,2,3,Sales executive,3,Married,1,Nan,13,3.0,2,Part time,2,2,3.0,10,9,0,1987,100071.84,yes
No,Travel_rarely,1582.77,18,5,Unknown,127,1,M,3,4,Manager,2,Single,3,No,23,3.0,4,Full time,0,2,3.0,10,7,7,1968,153407.07,yes
No,Unknown,556.26,1,3,Unknown,128,2,F,3,2,Sales executive,3,Unknown,9,Nan,11,3.0,3,Part time,0,2,3.0,11,6,9,1988,53914.11,yes
No,Travel_rarely,1032.49,24,3,Medical,129,4,F,3,3,Manufacturing director,1,Married,1,Nan,21,3.0,4,Part time,1,5,3.0,10,5,8,1981,100071.84,no
No,Travel_rarely,575.4,6,2,Unknown,130,4,F,3,2,Research scientist,1,Divorced,3,Yes,12,3.0,2,Full time,2,3,3.0,10,6,9,1971,55770.0,yes
No,Unknown,1973.98,18,4,Life sciences,131,4,F,2,5,Research director,3,Unknown,1,Yes,17,3.0,3,Full time,1,5,3.0,31,0,9,1974,191324.62,yes
No,Travel_rarely,277.64,1,5,Unknown,132,2,F,3,1,Research scientist,4,Married,1,No,12,3.0,4,Part time,1,4,3.0,10,8,8,1989,26910.0,yes
Yes,Travel_rarely,290.04,1,4,Other,133,4,F,3,1,Research scientist,4,Single,1,Nan,13,3.0,3,Part time,0,2,3.0,10,7,8,1990,28111.13,no
No,Unknown,1032.49,7,3,Medical,134,3,F,3,3,Research director,3,Married,0,No,11,3.0,4,Unknown,0,3,3.0,13,3,7,1990,53914.11,yes
No,Travel_rarely,1582.77,23,4,Unknown,135,4,M,3,4,Research director,4,Unknown,6,No,18,3.0,3,Full time,0,0,3.0,12,3,8,1970,153407.07,yes
No,Travel_rarely,763.8,8,2,Other,136,1,M,3,3,Laboratory technician,2,Married,4,Nan,11,3.0,3,Part time,1,3,3.0,26,1,7,1974,74030.0,no
No,Unknown,1032.49,21,4,Unknown,137,21,F,3,3,Sales executive,4,Unknown,6,Nan,13,3.0,2,Part time,1,2,3.0,10,0,8,1988,100071.84,no
No,Travel_rarely,910.31,17,1,Life sciences,138,3,M,2,3,Healthcare representative,3,Married,0,Nan,18,3.0,1,Part time,1,4,3.0,19,1,9,1985,88230.0,no
No,Unknown,1582.77,3,1,Marketing,139,1,F,3,4,Manager,3,Married,3,No,12,3.0,4,Full time,1,3,3.0,12,4,9,1977,153407.07,no
No,Non-travel,556.26,18,4,Unknown,140,1,F,3,2,Manufacturing director,4,Single,2,Nan,20,3.0,1,Part time,0,0,3.0,11,0,9,1987,53914.11,no
Yes,Travel_frequently,1582.77,15,3,Life sciences,141,15,F,3,4,Sales executive,1,Single,0,Nan,12,3.0,2,Full time,0,2,3.0,21,13,14,1981,153407.07,yes
No,Travel_frequently,556.26,1,3,Unknown,142,4,F,2,2,Healthcare representative,1,Single,0,No,20,3.0,3,Unknown,0,3,3.0,13,4,9,1989,53914.11,yes
No,Travel_rarely,369.26,1,3,Medical,143,4,F,3,1,Research scientist,2,Unknown,0,Yes,21,3.0,1,Unknown,1,2,3.0,11,5,7,1993,35790.0,yes
No,Travel_rarely,1834.34,3,3,Life sciences,144,4,F,3,4,Research director,4,Married,3,No,14,3.0,1,Full time,0,2,3.0,10,0,9,1969,177790.0,yes
No,Travel_rarely,556.26,24,3,Medical,145,3,M,2,2,Healthcare representative,1,Single,1,No,19,3.0,2,Part time,0,2,3.0,10,1,8,1992,53914.11,no
No,Unknown,1879.12,5,3,Unknown,146,2,F,3,5,Manager,2,Married,7,No,11,3.0,3,Full time,1,5,3.0,22,3,10,1979,182130.0,yes
No,Non-travel,1400.8,8,1,Unknown,147,4,F,2,4,Healthcare representative,2,Divorced,1,Yes,15,3.0,4,Full time,1,3,3.0,33,15,0,1968,135770.0,no
No,Travel_rarely,1979.92,4,2,Life sciences,148,3,F,4,5,Manager,1,Divorced,1,No,14,3.0,4,Full time,2,4,3.0,25,14,13,1979,191900.0,no
No,Travel_frequently,556.26,11,3,Life sciences,149,3,F,2,2,Human resources,2,Unknown,4,No,11,3.0,4,Unknown,2,5,3.0,10,1,8,1989,53914.11,yes
No,Unknown,1766.66,13,4,Unknown,150,3,M,2,4,Manager,2,Divorced,6,Yes,13,3.0,4,Full time,2,4,3.0,19,15,2,1984,171230.0,no
No,Travel_rarely,1979.61,2,2,Medical,151,4,M,1,5,Manager,3,Unknown,4,Nan,14,3.0,4,Full time,1,5,3.0,19,9,11,1968,191870.0,yes
No,Unknown,1582.77,5,3,Life sciences,152,3,F,3,4,Manager,2,Unknown,1,Nan,11,3.0,2,Full time,1,2,3.0,33,0,10,1972,153407.07,yes
Yes,Unknown,1032.57,14,4,Medical,153,14,M,2,3,Manufacturing director,1,Marreid,7,Nan,14,3.0,4,Unknown,0,0,3.0,10,5,9,1965,53914.11,yes
No,Unknown,1032.49,4,3,Life sciences,154,4,F,3,3,Manufacturing director,4,Single,1,No,11,3.0,3,Part time,0,2,3.0,10,0,8,1975,100071.84,yes
No,Travel_rarely,824.16,17,3,Unknown,155,2,F,2,3,Human resources,1,Single,1,Nan,13,3.0,1,Part time,0,3,3.0,10,0,9,1994,79880.0,no
No,Unknown,556.26,3,3,Other,156,4,F,1,2,Sales executive,1,Single,3,No,18,3.0,4,Part time,0,2,3.0,13,3,12,1989,53914.11,yes
No,Travel_frequently,290.04,9,2,Unknown,157,1,M,3,1,Laboratory technician,4,Unknown,1,Nan,13,3.0,3,Unknown,0,3,3.0,12,5,8,1981,53914.11,yes
