attrition,businesstravel,dailyrate,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,datebirth,salary,remotework
No,Travel Rarely,1032.49,4.0,3.0,Life Sciences,76.0,3.0,M,2.0,3.0,Manufacturing Director,2.0,Divorced,833932.0,2168223,8.0,Yes,12.0,3.0,3.0,Part Time,1.0,10,4.0,3.0,22,14,10,1970,10007184.0,Yes
No,Unknown,556.26,8.0,3.0,Unknown,77.0,4.0,M,2.0,2.0,Research Scientist,2.0,Divorced,449284.0,1168139,1.0,Unknown,16.0,3.0,3.0,Unknown,1.0,20,3.0,3.0,20,0,7,1970,5391411.0,No
No,Travel Rarely,1032.49,10.0,3.0,Life Sciences,78.0,3.0,M,4.0,3.0,Research Director,4.0,Unknown,833932.0,2168223,1.0,Yes,25.0,4.0,1.0,Part Time,1.0,16,2.0,3.0,16,6,8,1970,10007184.0,Yes
No,Unknown,556.26,2.0,3.0,Unknown,79.0,3.0,F,2.0,2.0,Healthcare Representative,4.0,Married,449284.0,1168139,1.0,No,19.0,3.0,1.0,Part Time,3.0,11,3.0,3.0,11,10,8,1970,5391411.0,Yes
No,Travel Rarely,1431.24,-18.0,4.0,Unknown,80.0,4.0,F,3.0,4.0,Sales Executive,3.0,Single,1156000.0,3005600,0.0,Unknown,13.0,3.0,3.0,Full Time,0.0,38,1.0,2.0,37,1,8,1970,13872000.0,Yes
No,Travel Rarely,1032.49,5.0,3.0,Unknown,81.0,3.0,M,2.0,3.0,Manager,1.0,Single,833932.0,2168223,2.0,Unknown,12.0,3.0,4.0,Unknown,0.0,14,6.0,3.0,11,5,8,1970,5391411.0,No
Yes,Travel Rarely,1032.49,23.0,4.0,Medical,82.0,4.0,M,3.0,3.0,Healthcare Representative,4.0,Married,833932.0,2168223,1.0,Unknown,12.0,3.0,4.0,Part Time,1.0,40,3.0,2.0,40,15,6,1970,10007184.0,Yes
No,Unknown,1032.49,3.0,3.0,Life Sciences,83.0,1.0,F,3.0,3.0,Sales Executive,3.0,Divorced,833932.0,2168223,0.0,Unknown,12.0,3.0,3.0,Unknown,2.0,10,6.0,2.0,16,5,13,1970,5391411.0,Yes
No,Travel Frequently,1032.49,1.0,1.0,Unknown,84.0,2.0,M,3.0,3.0,Sales Executive,4.0,Married,833932.0,2168223,1.0,Unknown,14.0,3.0,4.0,Part Time,1.0,11,5.0,3.0,11,4,1,1970,10007184.0,Yes
No,Travel Rarely,1964.96,1.0,3.0,Medical,85.0,4.0,F,3.0,5.0,Manager,1.0,Single,1587083.0,4126417,0.0,Unknown,14.0,3.0,3.0,Full Time,0.0,37,2.0,3.0,36,4,13,1970,19045000.0,Yes
No,Unknown,1652.34,-10.0,4.0,Unknown,86.0,4.0,F,3.0,4.0,Manager,2.0,Unknown,1334583.0,3469917,1.0,Unknown,19.0,3.0,2.0,Unknown,0.0,10,2.0,3.0,22,0,4,1970,5391411.0,Yes
No,Travel Rarely,991.82,1.0,3.0,Unknown,87.0,3.0,F,4.0,3.0,Healthcare Representative,4.0,Unknown,801083.0,2082817,0.0,No,17.0,3.0,1.0,Part Time,3.0,19,5.0,2.0,18,3,7,1970,9613000.0,No
No,Unknown,1187.54,15.0,2.0,Life Sciences,88.0,3.0,F,2.0,3.0,Research Director,4.0,Unknown,449284.0,2493833,0.0,Unknown,14.0,3.0,2.0,Full Time,1.0,10,3.0,3.0,11,2,9,1970,11510000.0,Yes
No,Unknown,1582.77,12.0,3.0,Unknown,89.0,1.0,F,2.0,4.0,Research Director,2.0,Unknown,1278392.0,3323820,1.0,No,11.0,3.0,3.0,Full Time,1.0,10,3.0,3.0,25,3,9,1970,15340707.0,Yes
No,Unknown,444.27,-30.0,2.0,Unknown,90.0,2.0,M,3.0,2.0,Manufacturing Director,1.0,Married,358833.0,932967,1.0,No,12.0,3.0,2.0,Unknown,1.0,13,5.0,1.0,13,3,12,1970,5391411.0,Yes
No,Travel Rarely,1758.71,-27.0,4.0,Life Sciences,91.0,27.0,F,2.0,4.0,Manager,3.0,Married,1420500.0,3693300,0.0,No,15.0,3.0,2.0,Full Time,1.0,28,2.0,3.0,27,15,7,1970,17046000.0,Yes
No,Unknown,1032.49,25.0,3.0,Technical Degree,92.0,4.0,F,2.0,3.0,Manufacturing Director,2.0,Married,833932.0,2168223,3.0,No,16.0,3.0,1.0,Part Time,0.0,10,2.0,3.0,13,4,8,1970,10007184.0,No
No,Unknown,522.79,16.0,4.0,Unknown,93.0,3.0,F,4.0,2.0,Manufacturing Director,3.0,Unknown,422250.0,1097850,1.0,Yes,19.0,3.0,3.0,Unknown,0.0,20,3.0,3.0,19,2,7,1970,5391411.0,Yes
No,Unknown,1032.49,25.0,4.0,Unknown,94.0,3.0,M,3.0,3.0,Healthcare Representative,3.0,Divorced,833932.0,2168223,1.0,Yes,11.0,3.0,3.0,Part Time,1.0,10,3.0,2.0,16,10,1,1970,10007184.0,Yes
No,Travel Rarely,1032.49,20.0,4.0,Unknown,95.0,1.0,F,3.0,3.0,Healthcare Representative,4.0,Married,449284.0,2168223,4.0,Unknown,20.0,4.0,4.0,Part Time,1.0,14,6.0,3.0,11,11,1,1970,10007184.0,Yes
No,Unknown,556.26,9.0,4.0,Life Sciences,96.0,2.0,M,2.0,2.0,Sales Executive,3.0,Married,449284.0,1168139,1.0,Unknown,13.0,3.0,4.0,Part Time,1.0,15,2.0,3.0,15,4,12,1970,5391411.0,No
No,Unknown,290.04,9.0,3.0,Medical,97.0,1.0,F,3.0,1.0,Research Scientist,4.0,Married,449284.0,609075,0.0,Unknown,13.0,3.0,2.0,Unknown,1.0,15,5.0,3.0,14,4,10,1970,2811113.0,No
No,Travel Frequently,380.92,3.0,3.0,Unknown,98.0,3.0,F,3.0,1.0,Research Scientist,2.0,Married,307667.0,799933,1.0,No,12.0,3.0,3.0,Full Time,0.0,12,2.0,2.0,11,0,7,1970,3692000.0,No
Yes,Unknown,1973.98,-13.0,3.0,Marketing,99.0,1.0,M,1.0,5.0,Manager,2.0,Unknown,1594372.0,4145367,2.0,Yes,16.0,3.0,1.0,Full Time,0.0,26,2.0,3.0,24,1,11,1970,19132462.0,Yes
No,Travel Frequently,2047.71,-27.0,3.0,Unknown,100.0,27.0,F,3.0,5.0,Manager,2.0,Unknown,449284.0,4300183,4.0,Yes,24.0,3.0,1.0,Full Time,1.0,10,5.0,2.0,29,11,10,1970,19847000.0,No
No,Travel Rarely,238.13,7.0,2.0,Technical Degree,101.0,2.0,F,3.0,1.0,Sales Representative,3.0,Unknown,449284.0,500067,0.0,Yes,25.0,4.0,2.0,Part Time,1.0,12,4.0,3.0,11,5,7,1970,2308000.0,No
No,Travel Rarely,1582.77,15.0,2.0,Unknown,102.0,3.0,F,2.0,4.0,Research Director,3.0,Unknown,449284.0,3323820,1.0,No,24.0,4.0,1.0,Full Time,1.0,10,3.0,3.0,14,6,11,1970,15340707.0,Yes
No,Unknown,556.26,5.0,2.0,Medical,103.0,2.0,F,2.0,2.0,Laboratory Technician,4.0,Unknown,449284.0,1168139,1.0,No,14.0,3.0,3.0,Part Time,1.0,10,3.0,3.0,15,4,13,1970,5391411.0,No
No,Unknown,290.04,2.0,3.0,Unknown,104.0,1.0,F,3.0,1.0,Human Resources,2.0,Divorced,234259.0,609075,5.0,No,13.0,3.0,4.0,Part Time,3.0,13,3.0,3.0,11,3,8,1970,2811113.0,Yes
No,Unknown,1973.98,10.0,3.0,Unknown,105.0,4.0,F,2.0,5.0,Research Director,2.0,Unknown,449284.0,4145367,4.0,No,12.0,3.0,4.0,Full Time,0.0,29,3.0,3.0,22,12,9,1970,19132462.0,No
No,Unknown,592.94,22.0,4.0,Other,106.0,3.0,F,2.0,2.0,Research Scientist,4.0,Married,478917.0,1245183,1.0,Yes,15.0,3.0,2.0,Full Time,0.0,16,3.0,3.0,15,6,11,1970,5747000.0,No
No,Travel Rarely,1075.29,-31.0,4.0,Unknown,107.0,31.0,M,3.0,3.0,Sales Executive,4.0,Unknown,868500.0,2258100,1.0,No,19.0,3.0,3.0,Full Time,2.0,14,3.0,3.0,14,5,7,1970,10422000.0,Yes
No,Travel Rarely,1032.49,21.0,4.0,Life Sciences,108.0,2.0,M,4.0,3.0,Manufacturing Director,1.0,Divorced,833932.0,2168223,1.0,No,11.0,3.0,3.0,Unknown,1.0,10,1.0,3.0,10,8,8,1970,5391411.0,No
